微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
L06Xrk1kp,#真理# 即使通往真理的貌似坦途，计划往往也赶不上变化。  原图 ,,http://wx1.sinaimg.cn/large/001Hf62Dly1gw2kj98kgcg60a0074x6q02.gif,无,无,2021-11-05 20:16,微博 weibo.com,27,3,12
L06Dycyr9,#权利# 你认为猫狗应该有高于其它动物的特权吗？  原图 ,,http://wx2.sinaimg.cn/large/001Hf62Dly1gw2kiyp7s4g60a00a0hdx02.gif,无,无,2021-11-05 19:27,微博 weibo.com,56,3,23
L06xodOkD,#海底捞# 海底捞要关闭300家店？看来最近一定要去支持一下了。虽然海底捞宣布不会裁员，但关闭店面的员工薪资大概还是会受影响吧。海底捞作为国内餐饮业管理水平的天花板之一，敬业的员工不光是海底捞的、也是社会的宝贵财富，希望小盆友们能在新的岗位上继续发光发！。本条义务为@海底捞火锅 安利，转关本条抽10位小盆友发海底捞补贴（每位50元现金），双十一开！ 疫情一定会过去，海底捞加油！  青青虫的微博的微博视频                                 ,,无,"http://f.video.weibocdn.com/o0/pdkHDe0Mlx07R9Rointe01041200oeoW0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1636128787&ssig=nyfjoYNLKG&KID=unistore,video",无,2021-11-05 19:11,微博视频号,8,3,14
L06nIEpoo,#航空# 你认为螺旋桨飞机还会迎来第二春吗？  原图 ,,http://wx2.sinaimg.cn/large/001Hf62Dly1gw2kip1lhrg60a006o4qw02.gif,无,无,2021-11-05 18:48,微博 weibo.com,47,1,23
L05ZmB2hd,#物理# 无论从事神马极限运动，脸刹总是最为有用。  原图 ,,http://wx1.sinaimg.cn/large/001Hf62Dly1gw2kie8hsdg60a00a07wk02.gif,无,无,2021-11-05 17:48,微博 weibo.com,26,0,6
L05D2zhti,#空投# 纯猜的话，你认为我军的空投能力赶上诺曼底登陆时的美军了吗？  原图 ,,http://wx3.sinaimg.cn/large/001Hf62Dly1gw2ki4a6lkg60a008e1l102.gif,无,无,2021-11-05 16:53,微博 weibo.com,57,7,52
L05pf7pK0,#世纪# 你认为本世纪自己还有机会亲身参与一次世界大战吗？  原图 ,,http://wx4.sinaimg.cn/large/001Hf62Dly1gw2khubvgjg60dc07ie8b02.gif,无,无,2021-11-05 16:19,微博 weibo.com,70,5,43
